Execuções, Árvore Binária de Pesquisa (s), Busca Sequencial no arquivo (s), Maior ou Igual que
Execução 1:,        0.001131000,        0.001214000,        8.03
Execução 2:,        0.001820000,        0.002878000,        0.36
Execução 3:,        0.001291000,        0.002426000,        3.47
Execução 4:,        0.000786000,        0.002044000,        5.60
Execução 5:,        0.000563000,        0.001694000,        6.79
Execução 6:,        0.000867000,        0.001723000,        5.09
Execução 7:,        0.001608000,        0.001591000,        0.81
Execução 8:,        0.000095000,        0.001380000,        9.60
Execução 9:,        0.001593000,        0.002718000,        0.76
Execução 10:,        0.001284000,        0.002139000,        3.06
Execução 11:,        0.000045000,        0.001376000,        9.87
Execução 12:,        0.001712000,        0.002461000,        0.36
Execução 13:,        0.000748000,        0.001872000,        6.33
Execução 14:,        0.001717000,        0.002468000,        1.15
Execução 15:,        0.000908000,        0.001954000,        5.45
Execução 16:,        0.000969000,        0.002166000,        3.83
Execução 17:,        0.001849000,        0.002361000,        1.91
Execução 18:,        0.001069000,        0.001921000,        0.70
Execução 19:,        0.001244000,        0.002483000,        3.47
Execução 20:,        0.001173000,        0.002402000,        4.26
Execução 21:,        0.001193000,        0.002361000,        2.97
Execução 22:,        0.001476000,        0.002343000,        1.48
Execução 23:,        0.000398000,        0.001639000,        8.68
Execução 24:,        0.001625000,        0.002430000,        0.41
Execução 25:,        0.001563000,        0.002302000,        1.63
Execução 26:,        0.000438000,        0.001684000,        7.77
Execução 27:,        0.001422000,        0.002273000,        2.48
Execução 28:,        0.000879000,        0.002081000,        5.25
Execução 29:,        0.000724000,        0.002031000,        6.36
Execução 30:,        0.000872000,        0.001960000,        4.78
Média (s),        0.001102067,        0.002079167
